,nn,nl,sw,uw,E_U,E_V,E_P,Avg
0,20,4,1,1,4.268096562818622,11.09017563440927,21.620364274535888,12.326212157254593
1,60,4,1,1,8.331787164578932,16.089760363240472,42.30108737092064,22.240878299580014
2,100,4,1,1,8.234556136880707,16.190076344561948,47.13808708744203,23.854239856294896
3,20,6,1,1,4.44167419232988,9.207216165001114,17.88362841628553,10.510839591205508
4,60,6,1,1,8.049271807298402,15.09616162315498,59.499378521055895,27.54827065050309
5,100,6,1,1,7.902655838632345,15.741947664414228,50.127617393107194,24.59074029871792
6,20,10,1,1,4.349217559285812,9.555644286257905,16.55686297114216,10.153908272228625
7,60,10,1,1,8.084539187080775,13.923586643756106,32.61410065371623,18.20740882818437
8,100,10,1,1,8.401006776615496,14.934100474842129,55.389734208689376,26.241613820049
